country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Total population,4104,1962,9351.441,X,,0
Afghanistan,4,Total population,4104,1967,10399.926,X,,0
Afghanistan,4,Total population,4104,1972,11791.215,X,,0
Afghanistan,4,Total population,4104,1977,13171.306,X,,0
Afghanistan,4,Total population,4104,1982,12882.528,X,,0
Afghanistan,4,Total population,4104,1987,11604.534,X,,0
Afghanistan,4,Total population,4104,1992,14485.546,X,,0
Afghanistan,4,Total population,4104,1997,19357.126,X,,0
Afghanistan,4,Total population,4104,2002,22600.77,X,,0
Afghanistan,4,Total population,4104,2007,27100.536,X,,0
Afghanistan,4,Total population,4104,2012,31161.376,X,,0
Afghanistan,4,Total population,4104,2017,36296.113,X,,0
Afghanistan,4,Total population,4104,2018,37171.921,X,,0
Afghanistan,4,Rural population,4105,1962,8507.016,X,,0
Afghanistan,4,Rural population,4105,1967,9276.202,X,,0
Afghanistan,4,Rural population,4105,1972,10267.199,X,,0
Afghanistan,4,Rural population,4105,1977,11170.461,X,,0
Afghanistan,4,Rural population,4105,1982,10563.504,X,,0
Afghanistan,4,Rural population,4105,1987,9166.105,X,,0
Afghanistan,4,Rural population,4105,1992,10995.568,X,,0
Afghanistan,4,Rural population,4105,1997,14373.573,X,,0
Afghanistan,4,Rural population,4105,2002,17086.91,X,,0
Afghanistan,4,Rural population,4105,2007,20464.923,X,,0
Afghanistan,4,Rural population,4105,2012,23280.663,X,,0
Afghanistan,4,Rural population,4105,2017,26558.609,X,,0
Afghanistan,4,Rural population,4105,2018,27099.874,X,,0
Afghanistan,4,Urban population,4106,1962,838.852,X,,0
Afghanistan,4,Urban population,4106,1967,1096.428,X,,0
Afghanistan,4,Urban population,4106,1972,1454.741,X,,0
Afghanistan,4,Urban population,4106,1977,1897.077,X,,0
Afghanistan,4,Urban population,4106,1982,2186.141,X,,0
Afghanistan,4,Urban population,4106,1987,2336.656,X,,0
Afghanistan,4,Urban population,4106,1992,2985.663,X,,0
Afghanistan,4,Urban population,4106,1997,4008.032,X,,0
Afghanistan,4,Urban population,4106,2002,4893.013,X,,0
Afghanistan,4,Urban population,4106,2007,6151.869,X,,0
Afghanistan,4,Urban population,4106,2012,7416.295,X,,0
Afghanistan,4,Urban population,4106,2017,8971.472,X,,0
Afghanistan,4,Urban population,4106,2018,9273.302,X,,0
Afghanistan,4,Population density,4107,1962,14.32380755,E,,0
Afghanistan,4,Population density,4107,1967,15.92979506,E,,0
Afghanistan,4,Population density,4107,1972,18.06086297,E,,0
Afghanistan,4,Population density,4107,1977,20.17477867,E,,0
Afghanistan,4,Population density,4107,1982,19.73245106,E,,0
Afghanistan,4,Population density,4107,1987,17.77491958,E,,0
Afghanistan,4,Population density,4107,1992,22.18782894,E,,0
Afghanistan,4,Population density,4107,1997,29.64973501,E,,0
Afghanistan,4,Population density,4107,2002,34.61809576,E,,0
Afghanistan,4,Population density,4107,2007,41.51048617,E,,0
Afghanistan,4,Population density,4107,2012,47.73056398,E,,0
Afghanistan,4,Population density,4107,2017,55.59555341,E,,0
Afghanistan,4,Population density,4107,2018,56.93704776,E,,0
Albania,8,Total population,4104,1962,1737.686,X,,0
Albania,8,Total population,4104,1967,1998.74,X,,0
Albania,8,Total population,4104,1972,2254.056,X,,0
Albania,8,Total population,4104,1977,2518.685,X,,0
Albania,8,Total population,4104,1982,2790.275,X,,0
Albania,8,Total population,4104,1987,3124.894,X,,0
Albania,8,Total population,4104,1992,3245.886,X,,0
Albania,8,Total population,4104,1997,3099.752,X,,0
Albania,8,Total population,4104,2002,3126.187,X,,0
Albania,8,Total population,4104,2007,3033.998,X,,0
Albania,8,Total population,4104,2012,2914.096,X,,0
Albania,8,Total population,4104,2017,2884.169,X,,0
Albania,8,Total population,4104,2018,2882.74,X,,0
Albania,8,Rural population,4105,1962,1198.718,X,,0
Albania,8,Rural population,4105,1967,1371.628,X,,0
Albania,8,Rural population,4105,1972,1529.743,X,,0
Albania,8,Rural population,4105,1977,1684.337,X,,0
Albania,8,Rural population,4105,1982,1832.278,X,,0
Albania,8,Rural population,4105,1987,2009.561,X,,0
Albania,8,Rural population,4105,1992,2033.508,X,,0
Albania,8,Rural population,4105,1997,1854.74,X,,0
Albania,8,Rural population,4105,2002,1762.229,X,,0
Albania,8,Rural population,4105,2007,1545.166,X,,0
Albania,8,Rural population,4105,2012,1333.585,X,,0
Albania,8,Rural population,4105,2017,1190.155,X,,0
Albania,8,Rural population,4105,2018,1164.388,X,,0
Albania,8,Urban population,4106,1962,538.926,X,,0
Albania,8,Urban population,4106,1967,627.065,X,,0
Albania,8,Urban population,4106,1972,724.101,X,,0
Albania,8,Urban population,4106,1977,833.535,X,,0
Albania,8,Urban population,4106,1982,956.036,X,,0
Albania,8,Urban population,4106,1987,1111.775,X,,0
Albania,8,Urban population,4106,1992,1207.079,X,,0
Albania,8,Urban population,4106,1997,1238.301,X,,0
Albania,8,Urban population,4106,2002,1356.8,X,,0
Albania,8,Urban population,4106,2007,1478.741,X,,0
Albania,8,Urban population,4106,2012,1586.454,X,,0
Albania,8,Urban population,4106,2017,1740.032,X,,0
Albania,8,Urban population,4106,2018,1769.975,X,,0
Albania,8,Population density,4107,1962,60.44125217,E,,0
Albania,8,Population density,4107,1967,69.5213913,E,,0
Albania,8,Population density,4107,1972,78.40194783,E,,0
Albania,8,Population density,4107,1977,87.60643478,E,,0
Albania,8,Population density,4107,1982,97.05304348,E,,0
Albania,8,Population density,4107,1987,108.6919652,E,,0
Albania,8,Population density,4107,1992,112.9003826,E,,0
Albania,8,Population density,4107,1997,107.8174609,E,,0
Albania,8,Population density,4107,2002,108.7369391,E,,0
Albania,8,Population density,4107,2007,105.5303652,E,,0
Albania,8,Population density,4107,2012,101.3598609,E,,0
Albania,8,Population density,4107,2017,104.0089794,E,,0
Albania,8,Population density,4107,2018,103.9574468,E,,0
Algeria,12,Total population,4104,1962,11619.828,X,,0
Algeria,12,Total population,4104,1967,13275.026,X,,0
Algeria,12,Total population,4104,1972,15285.99,X,,0
Algeria,12,Total population,4104,1977,17582.904,X,,0
Algeria,12,Total population,4104,1982,20452.902,X,,0
Algeria,12,Total population,4104,1987,23774.284,X,,0
Algeria,12,Total population,4104,1992,27028.326,X,,0
Algeria,12,Total population,4104,1997,29742.979,X,,0
Algeria,12,Total population,4104,2002,31855.109,X,,0
Algeria,12,Total population,4104,2007,34166.972,X,,0
Algeria,12,Total population,4104,2012,37383.895,X,,0
Algeria,12,Total population,4104,2017,41389.189,X,,0
Algeria,12,Total population,4104,2018,42228.408,X,,0
Algeria,12,Rural population,4105,1962,7807.347,X,,0
Algeria,12,Rural population,4105,1967,8145.491,X,,0
Algeria,12,Rural population,4105,1972,9252.206,X,,0
Algeria,12,Rural population,4105,1977,10449.894,X,,0
Algeria,12,Rural population,4105,1982,11254.255,X,,0
Algeria,12,Rural population,4105,1987,12025.355,X,,0
Algeria,12,Rural population,4105,1992,12596.547,X,,0
Algeria,12,Rural population,4105,1997,12688.632,X,,0
Algeria,12,Rural population,4105,2002,12317.847,X,,0
Algeria,12,Rural population,4105,2007,11885.693,X,,0
Algeria,12,Rural population,4105,2012,11677.502,X,,0
Algeria,12,Rural population,4105,2017,11547.532,X,,0
Algeria,12,Rural population,4105,2018,11498.038,X,,0
Algeria,12,Urban population,4106,1962,3882.806,X,,0
Algeria,12,Urban population,4106,1967,5208.706,X,,0
Algeria,12,Urban population,4106,1972,6124.887,X,,0
Algeria,12,Urban population,4106,1977,7240.29,X,,0
Algeria,12,Urban population,4106,1982,9321.446,X,,0
Algeria,12,Urban population,4106,1987,11892.542,X,,0
Algeria,12,Urban population,4106,1992,14584.547,X,,0
Algeria,12,Urban population,4106,1997,17198.207,X,,0
Algeria,12,Urban population,4106,2002,19677.199,X,,0
Algeria,12,Urban population,4106,2007,22414.383,X,,0
Algeria,12,Urban population,4106,2012,25888.345,X,,0
Algeria,12,Urban population,4106,2017,29770.61,X,,0
Algeria,12,Urban population,4106,2018,30510.016,X,,0
Algeria,12,Population density,4107,1962,4.878713881,E,,0
Algeria,12,Population density,4107,1967,5.573667151,E,,0
Algeria,12,Population density,4107,1972,6.417992728,E,,0
Algeria,12,Population density,4107,1977,7.38237759,E,,0
Algeria,12,Population density,4107,1982,8.587378135,E,,0
Algeria,12,Population density,4107,1987,9.981897268,E,,0
Algeria,12,Population density,4107,1992,11.34814295,E,,0
Algeria,12,Population density,4107,1997,12.48792018,E,,0
Algeria,12,Population density,4107,2002,13.37472142,E,,0
Algeria,12,Population density,4107,2007,14.34538279,E,,0
Algeria,12,Population density,4107,2012,15.69604365,E,,0
Algeria,12,Population density,4107,2017,17.37770354,E,,0
Algeria,12,Population density,4107,2018,17.73005881,E,,0
Andorra,20,Total population,4104,1962,15.37,X,,0
Andorra,20,Total population,4104,1967,20.758,X,,0
Andorra,20,Total population,4104,1972,26.892,X,,0
Andorra,20,Total population,4104,1977,32.771,X,,0
Andorra,20,Total population,4104,1982,39.114,X,,0
Andorra,20,Total population,4104,1987,48.455,X,,0
Andorra,20,Total population,4104,1992,58.888,X,,0
Andorra,20,Total population,4104,1997,64.327,X,,0
Andorra,20,Total population,4104,2002,70.049,X,,0
Andorra,20,Total population,4104,2007,82.684,X,,0
Andorra,20,Total population,4104,2012,82.427,X,,0
Andorra,20,Total population,4104,2017,77.001,X,,0
Andorra,20,Total population,4104,2018,77.006,X,,0
Andorra,20,Rural population,4105,1962,5.616,X,,0
Andorra,20,Rural population,4105,1967,5.264,X,,0
Andorra,20,Rural population,4105,1972,4.491,X,,0
Andorra,20,Rural population,4105,1977,3.467,X,,0
Andorra,20,Rural population,4105,1982,2.553,X,,0
Andorra,20,Rural population,4105,1987,2.336,X,,0
Andorra,20,Rural population,4105,1992,3.343,X,,0
Andorra,20,Rural population,4105,1997,4.387,X,,0
Andorra,20,Rural population,4105,2002,5.855,X,,0
Andorra,20,Rural population,4105,2007,8.84,X,,0
Andorra,20,Rural population,4105,2012,9.371,X,,0
Andorra,20,Rural population,4105,2017,9.12,X,,0
Andorra,20,Rural population,4105,2018,9.187,X,,0
Andorra,20,Urban population,4106,1962,9.754,X,,0
Andorra,20,Urban population,4106,1967,15.494,X,,0
Andorra,20,Urban population,4106,1972,22.401,X,,0
Andorra,20,Urban population,4106,1977,29.304,X,,0
Andorra,20,Urban population,4106,1982,36.561,X,,0
Andorra,20,Urban population,4106,1987,46.119,X,,0
Andorra,20,Urban population,4106,1992,55.545,X,,0
Andorra,20,Urban population,4106,1997,59.94,X,,0
Andorra,20,Urban population,4106,2002,64.194,X,,0
Andorra,20,Urban population,4106,2007,73.843,X,,0
Andorra,20,Urban population,4106,2012,73.06,X,,0
Andorra,20,Urban population,4106,2017,67.845,X,,0
Andorra,20,Urban population,4106,2018,67.766,X,,0
Andorra,20,Population density,4107,1962,32.70212766,E,,0
Andorra,20,Population density,4107,1967,44.16595745,E,,0
Andorra,20,Population density,4107,1972,57.21702128,E,,0
Andorra,20,Population density,4107,1977,69.72553191,E,,0
Andorra,20,Population density,4107,1982,83.2212766,E,,0
Andorra,20,Population density,4107,1987,103.0957447,E,,0
Andorra,20,Population density,4107,1992,125.293617,E,,0
Andorra,20,Population density,4107,1997,136.8659574,E,,0
Andorra,20,Population density,4107,2002,149.0404255,E,,0
Andorra,20,Population density,4107,2007,175.9234043,E,,0
Andorra,20,Population density,4107,2012,175.3765957,E,,0
Andorra,20,Population density,4107,2017,163.8319149,E,,0
Andorra,20,Population density,4107,2018,163.8425532,E,,0
Angola,24,Total population,4104,1962,5608.539,X,,0
Angola,24,Total population,4104,1967,5774.243,X,,0
Angola,24,Total population,4104,1972,6248.552,X,,0
Angola,24,Total population,4104,1977,7533.735,X,,0
Angola,24,Total population,4104,1982,8952.95,X,,0
Angola,24,Total population,4104,1987,10689.25,X,,0
Angola,24,Total population,4104,1992,12657.366,X,,0
Angola,24,Total population,4104,1997,14871.57,X,,0
Angola,24,Total population,4104,2002,17519.417,X,,0
Angola,24,Total population,4104,2007,20905.363,X,,0
Angola,24,Total population,4104,2012,25107.931,X,,0
Angola,24,Total population,4104,2017,29816.766,X,,0
Angola,24,Total population,4104,2018,30809.787,X,,0
Angola,24,Rural population,4105,1962,5208.822,X,,0
Angola,24,Rural population,4105,1967,5552.756,X,,0
Angola,24,Rural population,4105,1972,5927.379,X,,0
Angola,24,Rural population,4105,1977,6416.307,X,,0
Angola,24,Rural population,4105,1982,7032.139,X,,0
Angola,24,Rural population,4105,1987,7518.672,X,,0
Angola,24,Rural population,4105,1992,7776.001,X,,0
Angola,24,Rural population,4105,1997,8068.783,X,,0
Angola,24,Rural population,4105,2002,8353.851,X,,0
Angola,24,Rural population,4105,2007,8918.911,X,,0
Angola,24,Rural population,4105,2012,9720.169,X,,0
Angola,24,Rural population,4105,2017,10472.554,X,,0
Angola,24,Rural population,4105,2018,10612.667,X,,0
Angola,24,Urban population,4106,1962,657.239,X,,0
Angola,24,Urban population,4106,1967,862.239,X,,0
Angola,24,Urban population,4106,1972,1167.455,X,,0
Angola,24,Urban population,4106,1977,1714.681,X,,0
Angola,24,Urban population,4106,1982,2550.017,X,,0
Angola,24,Urban population,4106,1987,3699.596,X,,0
Angola,24,Urban population,4106,1992,5192.344,X,,0
Angola,24,Urban population,4106,1997,7020.198,X,,0
Angola,24,Urban population,4106,2002,9218.798,X,,0
Angola,24,Urban population,4106,2007,12078.776,X,,0
Angola,24,Urban population,4106,2012,15375.981,X,,0
Angola,24,Urban population,4106,2017,19311.639,X,,0
Angola,24,Urban population,4106,2018,20161.538,X,,0
Angola,24,Population density,4107,1962,4.498707789,E,,0
Angola,24,Population density,4107,1967,4.631621882,E,,0
Angola,24,Population density,4107,1972,5.012073474,E,,0
Angola,24,Population density,4107,1977,6.042941365,E,,0
Angola,24,Population density,4107,1982,7.181318681,E,,0
Angola,24,Population density,4107,1987,8.574035454,E,,0
Angola,24,Population density,4107,1992,10.15269592,E,,0
Angola,24,Population density,4107,1997,11.92874789,E,,0
Angola,24,Population density,4107,2002,14.05263255,E,,0
Angola,24,Population density,4107,2007,16.7685594,E,,0
Angola,24,Population density,4107,2012,20.13951311,E,,0
Angola,24,Population density,4107,2017,23.9165525,E,,0
Angola,24,Population density,4107,2018,24.71307211,E,,0
Antigua and Barbuda,28,Total population,4104,1962,55.841,X,,0
Antigua and Barbuda,28,Total population,4104,1967,61.241,X,,0
Antigua and Barbuda,28,Total population,4104,1972,64.133,X,,0
Antigua and Barbuda,28,Total population,4104,1977,62.159,X,,0
Antigua and Barbuda,28,Total population,4104,1982,61.779,X,,0
Antigua and Barbuda,28,Total population,4104,1987,61.717,X,,0
Antigua and Barbuda,28,Total population,4104,1992,64.471,X,,0
Antigua and Barbuda,28,Total population,4104,1997,71.704,X,,0
Antigua and Barbuda,28,Total population,4104,2002,78.295,X,,0
Antigua and Barbuda,28,Total population,4104,2007,84.026,X,,0
Antigua and Barbuda,28,Total population,4104,2012,90.409,X,,0
Antigua and Barbuda,28,Total population,4104,2017,95.426,X,,0
Antigua and Barbuda,28,Total population,4104,2018,96.286,X,,0
Antigua and Barbuda,28,Rural population,4105,1962,35.185,X,,0
Antigua and Barbuda,28,Rural population,4105,1967,40.919,X,,0
Antigua and Barbuda,28,Rural population,4105,1972,45.672,X,,0
Antigua and Barbuda,28,Rural population,4105,1977,47.823,X,,0
Antigua and Barbuda,28,Rural population,4105,1982,47.251,X,,0
Antigua and Barbuda,28,Rural population,4105,1987,43.975,X,,0
Antigua and Barbuda,28,Rural population,4105,1992,44.419,X,,0
Antigua and Barbuda,28,Rural population,4105,1997,51.913,X,,0
Antigua and Barbuda,28,Rural population,4105,2002,59.439,X,,0
Antigua and Barbuda,28,Rural population,4105,2007,65.792,X,,0
Antigua and Barbuda,28,Rural population,4105,2012,72.074,X,,0
Antigua and Barbuda,28,Rural population,4105,2017,76.802,X,,0
Antigua and Barbuda,28,Rural population,4105,2018,77.7,X,,0
Antigua and Barbuda,28,Urban population,4106,1962,21.959,X,,0
Antigua and Barbuda,28,Urban population,4106,1967,22.441,X,,0
Antigua and Barbuda,28,Urban population,4106,1972,23.504,X,,0
Antigua and Barbuda,28,Urban population,4106,1977,25.052,X,,0
Antigua and Barbuda,28,Urban population,4106,1982,25.197,X,,0
Antigua and Barbuda,28,Urban population,4106,1987,23.87,X,,0
Antigua and Barbuda,28,Urban population,4106,1992,24.008,X,,0
Antigua and Barbuda,28,Urban population,4106,1997,25.826,X,,0
Antigua and Barbuda,28,Urban population,4106,2002,26.827,X,,0
Antigua and Barbuda,28,Urban population,4106,2007,25.589,X,,0
Antigua and Barbuda,28,Urban population,4106,2012,24.703,X,,0
Antigua and Barbuda,28,Urban population,4106,2017,25.21,X,,0
Antigua and Barbuda,28,Urban population,4106,2018,25.35,X,,0
Antigua and Barbuda,28,Population density,4107,1962,126.9113636,E,,0
Antigua and Barbuda,28,Population density,4107,1967,139.1840909,E,,0
Antigua and Barbuda,28,Population density,4107,1972,145.7568182,E,,0
Antigua and Barbuda,28,Population density,4107,1977,141.2704545,E,,0
Antigua and Barbuda,28,Population density,4107,1982,140.4068182,E,,0
Antigua and Barbuda,28,Population density,4107,1987,140.2659091,E,,0
Antigua and Barbuda,28,Population density,4107,1992,146.525,E,,0
Antigua and Barbuda,28,Population density,4107,1997,162.9636364,E,,0
Antigua and Barbuda,28,Population density,4107,2002,177.9431818,E,,0
Antigua and Barbuda,28,Population density,4107,2007,190.9681818,E,,0
Antigua and Barbuda,28,Population density,4107,2012,205.475,E,,0
Antigua and Barbuda,28,Population density,4107,2017,216.8772727,E,,0
Antigua and Barbuda,28,Population density,4107,2018,218.8318182,E,,0
Argentina,32,Total population,4104,1962,21153.052,X,,0
Argentina,32,Total population,4104,1967,22828.869,X,,0
Argentina,32,Total population,4104,1972,24653.175,X,,0
Argentina,32,Total population,4104,1977,26661.398,X,,0
Argentina,32,Total population,4104,1982,28794.548,X,,0
Argentina,32,Total population,4104,1987,31184.415,X,,0
Argentina,32,Total population,4104,1992,33529.326,X,,0
Argentina,32,Total population,4104,1997,35657.429,X,,0
Argentina,32,Total population,4104,2002,37681.749,X,,0
Argentina,32,Total population,4104,2007,39684.295,X,,0
Argentina,32,Total population,4104,2012,41755.196,X,,0
Argentina,32,Total population,4104,2017,43937.14,X,,0
Argentina,32,Total population,4104,2018,44361.15,X,,0
Argentina,32,Rural population,4105,1962,5371.478,X,,0
Argentina,32,Rural population,4105,1967,5183.196,X,,0
Argentina,32,Rural population,4105,1972,5020.212,X,,0
Argentina,32,Rural population,4105,1977,4903.924,X,,0
Argentina,32,Rural population,4105,1982,4709.051,X,,0
Argentina,32,Rural population,4105,1987,4434.77,X,,0
Argentina,32,Rural population,4105,1992,4192.854,X,,0
Argentina,32,Rural population,4105,1997,4097.995,X,,0
Argentina,32,Rural population,4105,2002,3974.741,X,,0
Argentina,32,Rural population,4105,2007,3850.764,X,,0
Argentina,32,Rural population,4105,2012,3737.979,X,,0
Argentina,32,Rural population,4105,2017,3652.804,X,,0
Argentina,32,Rural population,4105,2018,3632.997,X,,0
Argentina,32,Urban population,4106,1962,15916.204,X,,0
Argentina,32,Urban population,4106,1967,17749.007,X,,0
Argentina,32,Urban population,4106,1972,19762.737,X,,0
Argentina,32,Urban population,4106,1977,21974.641,X,,0
Argentina,32,Urban population,4106,1982,24284.936,X,,0
Argentina,32,Urban population,4106,1987,26891.703,X,,0
Argentina,32,Urban population,4106,1992,29462.297,X,,0
Argentina,32,Urban population,4106,1997,31735.974,X,,0
Argentina,32,Urban population,4106,2002,33914.629,X,,0
Argentina,32,Urban population,4106,2007,36119.46,X,,0
Argentina,32,Urban population,4106,2012,38358.76,X,,0
Argentina,32,Urban population,4106,2017,40618.237,X,,0
Argentina,32,Urban population,4106,2018,41055.867,X,,0
Argentina,32,Population density,4107,1962,7.607916847,E,,0
Argentina,32,Population density,4107,1967,8.210641994,E,,0
Argentina,32,Population density,4107,1972,8.866772767,E,,0
Argentina,32,Population density,4107,1977,9.589051216,E,,0
Argentina,32,Population density,4107,1982,10.35626097,E,,0
Argentina,32,Population density,4107,1987,11.21580168,E,,0
Argentina,32,Population density,4107,1992,12.0591735,E,,0
Argentina,32,Population density,4107,1997,12.82456805,E,,0
Argentina,32,Population density,4107,2002,13.55263595,E,,0
Argentina,32,Population density,4107,2007,14.27287261,E,,0
Argentina,32,Population density,4107,2012,15.01769386,E,,0
Argentina,32,Population density,4107,2017,15.80245288,E,,0
Argentina,32,Population density,4107,2018,15.95495252,E,,0
Armenia,51,Total population,4104,1992,3442.817,X,,0
Armenia,51,Total population,4104,1997,3133.089,X,,0
Armenia,51,Total population,4104,2002,3033.978,X,,0
Armenia,51,Total population,4104,2007,2932.618,X,,0
Armenia,51,Total population,4104,2012,2884.234,X,,0
Armenia,51,Total population,4104,2017,2944.791,X,,0
Armenia,51,Total population,4104,2018,2951.745,X,,0
Armenia,51,Rural population,4105,1992,1140.314,X,,0
Armenia,51,Rural population,4105,1997,1080.782,X,,0
Armenia,51,Rural population,4105,2002,1085.046,X,,0
Armenia,51,Rural population,4105,2007,1063.546,X,,0
Armenia,51,Rural population,4105,2012,1059.405,X,,0
Armenia,51,Rural population,4105,2017,1081.248,X,,0
Armenia,51,Rural population,4105,2018,1081.275,X,,0
Armenia,51,Urban population,4106,1992,2302.496,X,,0
Armenia,51,Urban population,4106,1997,2052.304,X,,0
Armenia,51,Urban population,4106,2002,1948.851,X,,0
Armenia,51,Urban population,4106,2007,1869.51,X,,0
Armenia,51,Urban population,4106,2012,1822.517,X,,0
Armenia,51,Urban population,4106,2017,1849.202,X,,0
Armenia,51,Urban population,4106,2018,1852.877,X,,0
Armenia,51,Population density,4107,1992,115.7638534,E,,0
Armenia,51,Population density,4107,1997,105.3493275,E,,0
Armenia,51,Population density,4107,2002,102.0167451,E,,0
Armenia,51,Population density,4107,2007,98.60854069,E,,0
Armenia,51,Population density,4107,2012,96.98164089,E,,0
Armenia,51,Population density,4107,2017,99.01785474,E,,0
Armenia,51,Population density,4107,2018,99.25168124,E,,0
Australia,36,Total population,4104,1962,10643.417,X,,0
Australia,36,Total population,4104,1967,11899.639,X,,0
Australia,36,Total population,4104,1972,13244.171,X,,0
Australia,36,Total population,4104,1977,14092.548,X,,0
Australia,36,Total population,4104,1982,14979.205,X,,0
Australia,36,Total population,4104,1987,16183.168,X,,0
Australia,36,Total population,4104,1992,17402.173,X,,0
Australia,36,Total population,4104,1997,18387.214,X,,0
Australia,36,Total population,4104,2002,19401.368,X,,0
Australia,36,Total population,4104,2007,20916.344,X,,0
Australia,36,Total population,4104,2012,22903.948,X,,0
Australia,36,Total population,4104,2017,24584.62,X,,0
Australia,36,Total population,4104,2018,24898.152,X,,0
Australia,36,Rural population,4105,1962,1900.134,X,,0
Australia,36,Rural population,4105,1967,1970.805,X,,0
Australia,36,Rural population,4105,1972,2084.941,X,,0
Australia,36,Rural population,4105,1977,2108.693,X,,0
Australia,36,Rural population,4105,1982,2155.317,X,,0
Australia,36,Rural population,4105,1987,2353.333,X,,0
Australia,36,Rural population,4105,1992,2573.024,X,,0
Australia,36,Rural population,4105,1997,2837.374,X,,0
Australia,36,Rural population,4105,2002,3072.827,X,,0
Australia,36,Rural population,4105,2007,3179.302,X,,0
Australia,36,Rural population,4105,2012,3331.639,X,,0
Australia,36,Rural population,4105,2017,3446.638,X,,0
Australia,36,Rural population,4105,2018,3465.207,X,,0
Australia,36,Urban population,4106,1962,8791.555,X,,0
Australia,36,Urban population,4106,1967,9978.552,X,,0
Australia,36,Urban population,4106,1972,11211.931,X,,0
Australia,36,Urban population,4106,1977,12043.372,X,,0
Australia,36,Urban population,4106,1982,12885.748,X,,0
Australia,36,Urban population,4106,1987,13901.602,X,,0
Australia,36,Urban population,4106,1992,14912.924,X,,0
Australia,36,Urban population,4106,1997,15630.214,X,,0
Australia,36,Urban population,4106,2002,16402.364,X,,0
Australia,36,Urban population,4106,2007,17767.362,X,,0
Australia,36,Urban population,4106,2012,19490.21,X,,0
Australia,36,Urban population,4106,2017,21003.923,X,,0
Australia,36,Urban population,4106,2018,21307.04,X,,0
Australia,36,Population density,4107,1962,1.37490176,E,,0
Australia,36,Population density,4107,1967,1.537178765,E,,0
Australia,36,Population density,4107,1972,1.710863533,E,,0
Australia,36,Population density,4107,1977,1.82045569,E,,0
Australia,36,Population density,4107,1982,1.934992805,E,,0
Australia,36,Population density,4107,1987,2.090519066,E,,0
Australia,36,Population density,4107,1992,2.247988431,E,,0
Australia,36,Population density,4107,1997,2.375234653,E,,0
Australia,36,Population density,4107,2002,2.506241652,E,,0
Australia,36,Population density,4107,2007,2.701944138,E,,0
Australia,36,Population density,4107,2012,2.95870005,E,,0
Australia,36,Population density,4107,2017,3.175806914,E,,0
Australia,36,Population density,4107,2018,3.216308541,E,,0
Austria,40,Total population,4104,1962,7156.833,X,,0
Austria,40,Total population,4104,1967,7397.171,X,,0
Austria,40,Total population,4104,1972,7581.117,X,,0
Austria,40,Total population,4104,1977,7636.576,X,,0
Austria,40,Total population,4104,1982,7602.181,X,,0
Austria,40,Total population,4104,1987,7639.352,X,,0
Austria,40,Total population,4104,1992,7830.933,X,,0
Austria,40,Total population,4104,1997,8032.876,X,,0
Austria,40,Total population,4104,2002,8134.412,X,,0
Austria,40,Total population,4104,2007,8313.737,X,,0
Austria,40,Total population,4104,2012,8502.227,X,,0
Austria,40,Total population,4104,2017,8819.901,X,,0
Austria,40,Total population,4104,2018,8891.388,X,,0
Austria,40,Rural population,4105,1962,2514.678,X,,0
Austria,40,Rural population,4105,1967,2580.876,X,,0
Austria,40,Rural population,4105,1972,2629.784,X,,0
Austria,40,Rural population,4105,1977,2645.204,X,,0
Austria,40,Rural population,4105,1982,2653.123,X,,0
Austria,40,Rural population,4105,1987,2767.779,X,,0
Austria,40,Rural population,4105,1992,2943.132,X,,0
Austria,40,Rural population,4105,1997,3129.222,X,,0
Austria,40,Rural population,4105,2002,3281.833,X,,0
Austria,40,Rural population,4105,2007,3470.218,X,,0
Austria,40,Rural population,4105,2012,3650.043,X,,0
Austria,40,Rural population,4105,2017,3660.707,X,,0
Austria,40,Rural population,4105,2018,3649.748,X,,0
Austria,40,Urban population,4106,1962,4642.155,X,,0
Austria,40,Urban population,4106,1967,4816.295,X,,0
Austria,40,Urban population,4106,1972,4951.333,X,,0
Austria,40,Urban population,4106,1977,4991.372,X,,0
Austria,40,Urban population,4106,1982,4949.058,X,,0
Austria,40,Urban population,4106,1987,4871.573,X,,0
Austria,40,Urban population,4106,1992,4887.801,X,,0
Austria,40,Urban population,4106,1997,4903.654,X,,0
Austria,40,Urban population,4106,2002,4852.579,X,,0
Austria,40,Urban population,4106,2007,4841.565,X,,0
Austria,40,Urban population,4106,2012,4867.505,X,,0
Austria,40,Urban population,4106,2017,5074.746,X,,0
Austria,40,Urban population,4106,2018,5102.072,X,,0
Austria,40,Population density,4107,1962,85.32228183,E,,0
Austria,40,Population density,4107,1967,88.18754173,E,,0
Austria,40,Population density,4107,1972,90.38050787,E,,0
Austria,40,Population density,4107,1977,91.04167859,E,,0
Austria,40,Population density,4107,1982,90.63162852,E,,0
Austria,40,Population density,4107,1987,91.07477349,E,,0
Austria,40,Population density,4107,1992,93.35876252,E,,0
Austria,40,Population density,4107,1997,95.76628517,E,,0
Austria,40,Population density,4107,2002,96.97677635,E,,0
Austria,40,Population density,4107,2007,99.11465188,E,,0
Austria,40,Population density,4107,2012,101.3617907,E,,0
Austria,40,Population density,4107,2017,105.1502879,E,,0
Austria,40,Population density,4107,2018,106.0025513,E,,0
Azerbaijan,31,Total population,4104,1992,7471.926,X,,0
Azerbaijan,31,Total population,4104,1997,7925.668,X,,0
Azerbaijan,31,Total population,4104,2002,8277.061,X,,0
