country,country_id,variable_name,variable_id,year,value,symbol,md,ref
Afghanistan,4,Wheat temporary crop,4345,1982,1246,I,,0
Afghanistan,4,Wheat temporary crop,4345,1987,1111,I,,0
Afghanistan,4,Wheat temporary crop,4345,1992,1025.789474,I,,0
Afghanistan,4,Wheat temporary crop,4345,1997,1015.263158,I,,0
Afghanistan,4,Wheat temporary crop,4345,2002,1004.736842,I,,0
Afghanistan,4,Wheat temporary crop,4345,2007,994.2105263,I,,0
Afghanistan,4,Wheat temporary crop,4345,2012,1156,,,6738
Afghanistan,4,Wheat temporary crop,4345,2017,1301,I,,0
Afghanistan,4,Wheat temporary crop,4345,2018,1301,I,,0
Afghanistan,4,Rice temporary crop,4346,2012,208,I,,0
Afghanistan,4,Rice temporary crop,4346,2017,208,I,,0
Afghanistan,4,Rice temporary crop,4346,2018,208,I,,0
Afghanistan,4,Barley temporary crop,4347,2012,116,I,,0
Afghanistan,4,Barley temporary crop,4347,2017,116,I,,0
Afghanistan,4,Barley temporary crop,4347,2018,116,I,,0
Afghanistan,4,Maize temporary crop,4348,2012,183,I,,0
Afghanistan,4,Maize temporary crop,4348,2017,183,I,,0
Afghanistan,4,Maize temporary crop,4348,2018,183,I,,0
Afghanistan,4,Vegetables temporary crop,4360,2012,69,I,,0
Afghanistan,4,Vegetables temporary crop,4360,2017,69,I,,0
Afghanistan,4,Vegetables temporary crop,4360,2018,69,I,,0
Afghanistan,4,Sesame temporary crop,4374,2007,10,I,,0
Afghanistan,4,Sesame temporary crop,4374,2012,10,I,,0
Afghanistan,4,Sesame temporary crop,4374,2017,10,I,,0
Afghanistan,4,Sesame temporary crop,4374,2018,10,I,,0
Afghanistan,4,Sunflower temporary crop,4373,2007,10,I,,0
Afghanistan,4,Sunflower temporary crop,4373,2012,10,I,,0
Afghanistan,4,Sunflower temporary crop,4373,2017,10,I,,0
Afghanistan,4,Sunflower temporary crop,4373,2018,10,I,,0
Afghanistan,4,Potatoes temporary crop,4352,2007,15,I,,0
Afghanistan,4,Potatoes temporary crop,4352,2012,15,I,,0
Afghanistan,4,Potatoes temporary crop,4352,2017,15,I,,0
Afghanistan,4,Potatoes temporary crop,4352,2018,15,I,,0
Afghanistan,4,Leguminous crops temporary crop,4359,2007,27,I,,0
Afghanistan,4,Leguminous crops temporary crop,4359,2012,27,I,,0
Afghanistan,4,Leguminous crops temporary crop,4359,2017,27,I,,0
Afghanistan,4,Leguminous crops temporary crop,4359,2018,27,I,,0
Afghanistan,4,Sugar beet temporary crop,4358,2007,2,I,,0
Afghanistan,4,Sugar beet temporary crop,4358,2012,2,I,,0
Afghanistan,4,Sugar beet temporary crop,4358,2017,2,I,,0
Afghanistan,4,Sugar beet temporary crop,4358,2018,2,I,,0
Afghanistan,4,Sugarcane temporary crop,4357,2007,2,I,,0
Afghanistan,4,Sugarcane temporary crop,4357,2012,2,I,,0
Afghanistan,4,Sugarcane temporary crop,4357,2017,2,I,,0
Afghanistan,4,Sugarcane temporary crop,4357,2018,2,I,,0
Afghanistan,4,Cotton temporary crop,4367,2012,33,I,,0
Afghanistan,4,Cotton temporary crop,4367,2017,33,I,,0
Afghanistan,4,Cotton temporary crop,4367,2018,33,I,,0
Afghanistan,4,Other permanent crops,4378,2012,198,I,,0
Afghanistan,4,Other permanent crops,4378,2017,198,I,,0
Afghanistan,4,Other permanent crops,4378,2018,198,I,,0
Albania,8,Wheat temporary crop,4345,2007,3.1,I,,0
Albania,8,Wheat temporary crop,4345,2012,3.1,I,,0
Albania,8,Wheat temporary crop,4345,2017,3.1,I,,0
Albania,8,Wheat temporary crop,4345,2018,3.1,I,,0
Albania,8,Maize temporary crop,4348,2007,28.5,I,,0
Albania,8,Maize temporary crop,4348,2012,28.5,I,,0
Albania,8,Maize temporary crop,4348,2017,28.5,I,,0
Albania,8,Maize temporary crop,4348,2018,28.5,I,,0
Albania,8,Other cereals temporary crop,4351,2007,4.2,I,,0
Albania,8,Other cereals temporary crop,4351,2012,4.2,I,,0
Albania,8,Other cereals temporary crop,4351,2017,4.2,I,,0
Albania,8,Other cereals temporary crop,4351,2018,4.2,I,,0
Albania,8,Vegetables temporary crop,4360,2007,19.5,I,,0
Albania,8,Vegetables temporary crop,4360,2012,19.5,I,,0
Albania,8,Vegetables temporary crop,4360,2017,19.5,I,,0
Albania,8,Vegetables temporary crop,4360,2018,19.5,I,,0
Albania,8,Potatoes temporary crop,4352,2007,2.9,I,,0
Albania,8,Potatoes temporary crop,4352,2012,2.9,I,,0
Albania,8,Potatoes temporary crop,4352,2017,2.9,I,,0
Albania,8,Potatoes temporary crop,4352,2018,2.9,I,,0
Albania,8,Leguminous crops temporary crop,4359,2007,13.1,I,,0
Albania,8,Leguminous crops temporary crop,4359,2012,13.1,I,,0
Albania,8,Leguminous crops temporary crop,4359,2017,13.1,I,,0
Albania,8,Leguminous crops temporary crop,4359,2018,13.1,I,,0
Albania,8,Fodder temporary crop,4369,2007,14,I,,0
Albania,8,Fodder temporary crop,4369,2012,14,I,,0
Albania,8,Fodder temporary crop,4369,2017,14,I,,0
Albania,8,Fodder temporary crop,4369,2018,14,I,,0
Albania,8,Other temporary crops,4377,2007,9,I,,0
Albania,8,Other temporary crops,4377,2012,9,I,,0
Albania,8,Other temporary crops,4377,2017,9,I,,0
Albania,8,Other temporary crops,4377,2018,9,I,,0
Albania,8,Other permanent crops,4378,2007,8.3,I,,0
Albania,8,Other permanent crops,4378,2012,8.3,I,,0
Albania,8,Other permanent crops,4378,2017,8.3,I,,0
Albania,8,Other permanent crops,4378,2018,8.3,I,,0
Algeria,12,Wheat temporary crop,4345,2002,89.3,I,,0
Algeria,12,Wheat temporary crop,4345,2007,89.3,I,,0
Algeria,12,Wheat temporary crop,4345,2012,89.3,I,,0
Algeria,12,Wheat temporary crop,4345,2017,89.3,I,,0
Algeria,12,Wheat temporary crop,4345,2018,89.3,I,,0
Algeria,12,Other cereals temporary crop,4351,1987,11.38818182,I,,0
Algeria,12,Other cereals temporary crop,4351,1992,28.32909091,I,,0
Algeria,12,Other cereals temporary crop,4351,1997,45.27,I,,0
Algeria,12,Other cereals temporary crop,4351,2002,62.21090909,I,,0
Algeria,12,Other cereals temporary crop,4351,2007,79.15181818,I,,0
Algeria,12,Other cereals temporary crop,4351,2012,82.54,I,,0
Algeria,12,Other cereals temporary crop,4351,2017,82.54,I,,0
Algeria,12,Other cereals temporary crop,4351,2018,82.54,I,,0
Algeria,12,Vegetables temporary crop,4360,1987,95.26666667,I,,0
Algeria,12,Vegetables temporary crop,4360,1992,96.6,I,,0
Algeria,12,Vegetables temporary crop,4360,1997,97.93333333,I,,0
Algeria,12,Vegetables temporary crop,4360,2002,123.8857143,I,,0
Algeria,12,Vegetables temporary crop,4360,2007,248.3142857,I,,0
Algeria,12,Vegetables temporary crop,4360,2012,273.2,I,,0
Algeria,12,Vegetables temporary crop,4360,2017,273.2,I,,0
Algeria,12,Vegetables temporary crop,4360,2018,273.2,I,,0
Algeria,12,Potatoes temporary crop,4352,2002,79,I,,0
Algeria,12,Potatoes temporary crop,4352,2007,79,I,,0
Algeria,12,Potatoes temporary crop,4352,2012,79,I,,0
Algeria,12,Potatoes temporary crop,4352,2017,79,I,,0
Algeria,12,Potatoes temporary crop,4352,2018,79,I,,0
Algeria,12,Tobacco temporary crop,4366,2002,5,I,,0
Algeria,12,Tobacco temporary crop,4366,2007,5,I,,0
Algeria,12,Tobacco temporary crop,4366,2012,5,I,,0
Algeria,12,Tobacco temporary crop,4366,2017,5,I,,0
Algeria,12,Tobacco temporary crop,4366,2018,5,I,,0
Algeria,12,Other temporary crops,4377,2002,16.39428571,I,,0
Algeria,12,Other temporary crops,4377,2007,23.36571429,I,,0
Algeria,12,Other temporary crops,4377,2012,24.76,I,,0
Algeria,12,Other temporary crops,4377,2017,24.76,I,,0
Algeria,12,Other temporary crops,4377,2018,24.76,I,,0
Algeria,12,Citrus permanent crop,4362,2002,45.41142857,I,,0
Algeria,12,Citrus permanent crop,4362,2007,42.46857143,I,,0
Algeria,12,Citrus permanent crop,4362,2012,41.88,I,,0
Algeria,12,Citrus permanent crop,4362,2017,41.88,I,,0
Algeria,12,Citrus permanent crop,4362,2018,41.88,I,,0
Algeria,12,Grapes permanent crop,4523,2012,9.037,I,,0
Algeria,12,Grapes permanent crop,4523,2017,9.037,I,,0
Algeria,12,Grapes permanent crop,4523,2018,9.037,I,,0
Algeria,12,Other fruits permanent crop,4524,2002,118.0571429,I,,0
Algeria,12,Other fruits permanent crop,4524,2007,153.3428571,I,,0
Algeria,12,Other fruits permanent crop,4524,2012,160.4,I,,0
Algeria,12,Other fruits permanent crop,4524,2017,160.4,I,,0
Algeria,12,Other fruits permanent crop,4524,2018,160.4,I,,0
Algeria,12,Olives permanent crop,4525,2012,48.32,I,,0
Algeria,12,Olives permanent crop,4525,2017,48.32,I,,0
Algeria,12,Olives permanent crop,4525,2018,48.32,I,,0
Algeria,12,Oil palm permanent crop,4370,2012,140.2,I,,0
Algeria,12,Oil palm permanent crop,4370,2017,140.2,I,,0
Algeria,12,Oil palm permanent crop,4370,2018,140.2,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,1987,23.93333333,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,1992,18.6,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,1997,13.26666667,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,2002,18.82857143,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,2007,67.97142857,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,2012,77.8,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,2017,77.8,I,,0
Algeria,12,Grass and Fodder permanent crop,4522,2018,77.8,I,,0
Algeria,12,Other permanent crops,4378,1987,145,I,,0
Algeria,12,Other permanent crops,4378,1992,145,I,,0
Algeria,12,Other permanent crops,4378,1997,145,I,,0
Algeria,12,Other permanent crops,4378,2002,145,I,,0
Algeria,12,Other permanent crops,4378,2007,145,I,,0
Algeria,12,Other permanent crops,4378,2012,145,I,,0
Algeria,12,Other permanent crops,4378,2017,145,I,,0
Algeria,12,Other permanent crops,4378,2018,145,I,,0
Angola,24,Maize temporary crop,4348,2007,4.799,I,,0
Angola,24,Maize temporary crop,4348,2012,4.799,I,,0
Angola,24,Maize temporary crop,4348,2017,4.799,I,,0
Angola,24,Maize temporary crop,4348,2018,4.799,I,,0
Angola,24,Vegetables temporary crop,4360,2007,2.695,I,,0
Angola,24,Vegetables temporary crop,4360,2012,2.695,I,,0
Angola,24,Vegetables temporary crop,4360,2017,2.695,I,,0
Angola,24,Vegetables temporary crop,4360,2018,2.695,I,,0
Angola,24,Groundnuts temporary crop,4372,2007,0.004,I,,0
Angola,24,Groundnuts temporary crop,4372,2012,0.004,I,,0
Angola,24,Groundnuts temporary crop,4372,2017,0.004,I,,0
Angola,24,Groundnuts temporary crop,4372,2018,0.004,I,,0
Angola,24,Potatoes temporary crop,4352,2007,0.203,I,,0
Angola,24,Potatoes temporary crop,4352,2012,0.203,I,,0
Angola,24,Potatoes temporary crop,4352,2017,0.203,I,,0
Angola,24,Potatoes temporary crop,4352,2018,0.203,I,,0
Angola,24,Sweet potatoes temporary crop,4353,2007,0.786,I,,0
Angola,24,Sweet potatoes temporary crop,4353,2012,0.786,I,,0
Angola,24,Sweet potatoes temporary crop,4353,2017,0.786,I,,0
Angola,24,Sweet potatoes temporary crop,4353,2018,0.786,I,,0
Angola,24,Cassava temporary crop,4354,2007,0.322,I,,0
Angola,24,Cassava temporary crop,4354,2012,0.322,I,,0
Angola,24,Cassava temporary crop,4354,2017,0.322,I,,0
Angola,24,Cassava temporary crop,4354,2018,0.322,I,,0
Angola,24,Leguminous crops temporary crop,4359,2007,1.14,I,,0
Angola,24,Leguminous crops temporary crop,4359,2012,1.14,I,,0
Angola,24,Leguminous crops temporary crop,4359,2017,1.14,I,,0
Angola,24,Leguminous crops temporary crop,4359,2018,1.14,I,,0
Angola,24,Sugarcane temporary crop,4357,1972,12.5,,,5047
Angola,24,Sugarcane temporary crop,4357,1977,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,1982,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,1987,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,1992,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,1997,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,2002,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,2007,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,2012,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,2017,12.5,I,,0
Angola,24,Sugarcane temporary crop,4357,2018,12.5,I,,0
Angola,24,Tobacco temporary crop,4366,1972,9.1,,,5047
Angola,24,Tobacco temporary crop,4366,1977,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,1982,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,1987,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,1992,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,1997,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,2002,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,2007,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,2012,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,2017,9.1,I,,0
Angola,24,Tobacco temporary crop,4366,2018,9.1,I,,0
Angola,24,Other temporary crops,4377,2007,1.573,I,,0
Angola,24,Other temporary crops,4377,2012,1.573,I,,0
Angola,24,Other temporary crops,4377,2017,1.573,I,,0
Angola,24,Other temporary crops,4377,2018,1.573,I,,0
Angola,24,Bananas permanent crop,4361,1972,7.7,,,5047
Angola,24,Bananas permanent crop,4361,1977,7.7,I,,0
Angola,24,Bananas permanent crop,4361,1982,7.7,I,,0
Angola,24,Bananas permanent crop,4361,1987,7.7,I,,0
Angola,24,Bananas permanent crop,4361,1992,7.7,I,,0
Angola,24,Bananas permanent crop,4361,1997,7.7,I,,0
Angola,24,Bananas permanent crop,4361,2002,7.7,I,,0
Angola,24,Bananas permanent crop,4361,2007,7.7,I,,0
Angola,24,Bananas permanent crop,4361,2012,7.7,I,,0
Angola,24,Bananas permanent crop,4361,2017,7.7,I,,0
Angola,24,Bananas permanent crop,4361,2018,7.7,I,,0
Angola,24,Citrus permanent crop,4362,1972,3.5,,,5047
Angola,24,Citrus permanent crop,4362,1977,3.5,I,,0
Angola,24,Citrus permanent crop,4362,1982,3.5,I,,0
Angola,24,Citrus permanent crop,4362,1987,3.5,I,,0
Angola,24,Citrus permanent crop,4362,1992,3.5,I,,0
Angola,24,Citrus permanent crop,4362,1997,3.5,I,,0
Angola,24,Citrus permanent crop,4362,2002,3.5,I,,0
Angola,24,Citrus permanent crop,4362,2007,3.5,I,,0
Angola,24,Citrus permanent crop,4362,2012,3.5,I,,0
Angola,24,Citrus permanent crop,4362,2017,3.5,I,,0
Angola,24,Citrus permanent crop,4362,2018,3.5,I,,0
Angola,24,Other permanent crops,4378,1977,11.2,I,,0
Angola,24,Other permanent crops,4378,1982,11.2,I,,0
Angola,24,Other permanent crops,4378,1987,11.2,I,,0
Angola,24,Other permanent crops,4378,1992,11.2,I,,0
Angola,24,Other permanent crops,4378,1997,11.2,I,,0
Angola,24,Other permanent crops,4378,2002,11.2,I,,0
Angola,24,Other permanent crops,4378,2007,11.2,I,,0
Angola,24,Other permanent crops,4378,2012,11.2,I,,0
Angola,24,Other permanent crops,4378,2017,11.2,I,,0
Angola,24,Other permanent crops,4378,2018,11.2,I,,0
Antigua and Barbuda,28,Vegetables temporary crop,4360,1997,0.12,,,4951
Antigua and Barbuda,28,Vegetables temporary crop,4360,2002,0.168029412,I,,0
Antigua and Barbuda,28,Vegetables temporary crop,4360,2007,0.216058824,I,,0
Antigua and Barbuda,28,Vegetables temporary crop,4360,2012,0.264088235,I,,0
Antigua and Barbuda,28,Vegetables temporary crop,4360,2017,0.2833,I,,0
Antigua and Barbuda,28,Vegetables temporary crop,4360,2018,0.2833,I,,0
Antigua and Barbuda,28,Other temporary crops,4377,1997,0.01,,,4951
Antigua and Barbuda,28,Other temporary crops,4377,2002,0.01,I,,0
Antigua and Barbuda,28,Other temporary crops,4377,2007,0.01,I,,0
Antigua and Barbuda,28,Other temporary crops,4377,2012,0.01,I,,0
Antigua and Barbuda,28,Other temporary crops,4377,2017,0.01,I,,0
Antigua and Barbuda,28,Other temporary crops,4377,2018,0.01,I,,0
Antigua and Barbuda,28,Other fruits permanent crop,4524,2017,0.1012,I,,0
Antigua and Barbuda,28,Other fruits permanent crop,4524,2018,0.1012,I,,0
Argentina,32,Wheat temporary crop,4345,2012,60,I,,0
Argentina,32,Wheat temporary crop,4345,2017,60,I,,0
Argentina,32,Wheat temporary crop,4345,2018,60,I,,0
Argentina,32,Rice temporary crop,4346,1997,96.81,,,0
Argentina,32,Rice temporary crop,4346,2002,127.3509091,I,,0
Argentina,32,Rice temporary crop,4346,2007,157.8918182,I,,0
Argentina,32,Rice temporary crop,4346,2012,164,I,,0
Argentina,32,Rice temporary crop,4346,2017,164,I,,0
Argentina,32,Rice temporary crop,4346,2018,164,I,,0
Argentina,32,Maize temporary crop,4348,1997,171.2,,,4951
Argentina,32,Maize temporary crop,4348,2002,183.3818182,I,,0
Argentina,32,Maize temporary crop,4348,2007,195.5636364,I,,0
Argentina,32,Maize temporary crop,4348,2012,198,I,,0
Argentina,32,Maize temporary crop,4348,2017,198,I,,0
Argentina,32,Maize temporary crop,4348,2018,198,I,,0
Argentina,32,Sorghum temporary crop,4350,2012,108,I,,0
Argentina,32,Sorghum temporary crop,4350,2017,108,I,,0
Argentina,32,Sorghum temporary crop,4350,2018,108,I,,0
Argentina,32,Vegetables temporary crop,4360,1997,261.8,,,0
Argentina,32,Vegetables temporary crop,4360,2002,284.6181818,I,,0
Argentina,32,Vegetables temporary crop,4360,2007,307.4363636,I,,0
Argentina,32,Vegetables temporary crop,4360,2012,312,I,,0
Argentina,32,Vegetables temporary crop,4360,2017,312,I,,0
Argentina,32,Vegetables temporary crop,4360,2018,312,I,,0
Argentina,32,Potatoes temporary crop,4352,2012,29,I,,0
Argentina,32,Potatoes temporary crop,4352,2017,29,I,,0
Argentina,32,Potatoes temporary crop,4352,2018,29,I,,0
Argentina,32,Other roots and tubers temporary crop,4355,1997,162.9,,,4951
Argentina,32,Other roots and tubers temporary crop,4355,2002,162.9,I,,0
Argentina,32,Other roots and tubers temporary crop,4355,2007,162.9,I,,0
Argentina,32,Other roots and tubers temporary crop,4355,2012,162.9,I,,0
Argentina,32,Other roots and tubers temporary crop,4355,2017,162.9,I,,0
Argentina,32,Other roots and tubers temporary crop,4355,2018,162.9,I,,0
Argentina,32,Leguminous crops temporary crop,4359,2012,208,I,,0
Argentina,32,Leguminous crops temporary crop,4359,2017,208,I,,0
Argentina,32,Leguminous crops temporary crop,4359,2018,208,I,,0
Argentina,32,Sugarcane temporary crop,4357,1997,240,,,4951
Argentina,32,Sugarcane temporary crop,4357,2002,242.7272727,I,,0
Argentina,32,Sugarcane temporary crop,4357,2007,245.4545455,I,,0
Argentina,32,Sugarcane temporary crop,4357,2012,246,I,,0
Argentina,32,Sugarcane temporary crop,4357,2017,246,I,,0
Argentina,32,Sugarcane temporary crop,4357,2018,246,I,,0
Argentina,32,Fodder temporary crop,4369,2012,380,I,,0
Argentina,32,Fodder temporary crop,4369,2017,380,I,,0
Argentina,32,Fodder temporary crop,4369,2018,380,I,,0
Argentina,32,Cotton temporary crop,4367,2012,17,I,,0
Argentina,32,Cotton temporary crop,4367,2017,17,I,,0
Argentina,32,Cotton temporary crop,4367,2018,17,I,,0
Argentina,32,Flowers temporary crop,4376,1997,2.952,,,4951
Argentina,32,Flowers temporary crop,4376,2002,2.952,I,,0
Argentina,32,Flowers temporary crop,4376,2007,2.952,I,,0
Argentina,32,Flowers temporary crop,4376,2012,2.952,I,,0
Argentina,32,Flowers temporary crop,4376,2017,2.952,I,,0
Argentina,32,Flowers temporary crop,4376,2018,2.952,I,,0
Argentina,32,Tobacco temporary crop,4366,2012,10,I,,0
Argentina,32,Tobacco temporary crop,4366,2017,10,I,,0
Argentina,32,Tobacco temporary crop,4366,2018,10,I,,0
Argentina,32,Other temporary crops,4377,1997,121.5,,,0
Argentina,32,Other temporary crops,4377,2002,70.36363636,I,,0
Argentina,32,Other temporary crops,4377,2007,19.22727273,I,,0
Argentina,32,Other temporary crops,4377,2012,9,I,,0
Argentina,32,Other temporary crops,4377,2017,9,I,,0
Argentina,32,Other temporary crops,4377,2018,9,I,,0
Argentina,32,Citrus permanent crop,4362,2012,22,I,,0
Argentina,32,Citrus permanent crop,4362,2017,22,I,,0
Argentina,32,Citrus permanent crop,4362,2018,22,I,,0
Argentina,32,Other fruits permanent crop,4524,2012,537,I,,0
Argentina,32,Other fruits permanent crop,4524,2017,537,I,,0
Argentina,32,Other fruits permanent crop,4524,2018,537,I,,0
Argentina,32,Other permanent crops,4378,1997,493.1,,,0
Argentina,32,Other permanent crops,4378,2002,493.1,I,,0
Argentina,32,Other permanent crops,4378,2007,493.1,I,,0
Argentina,32,Other permanent crops,4378,2012,493.1,I,,0
Argentina,32,Other permanent crops,4378,2017,493.1,I,,0
Argentina,32,Other permanent crops,4378,2018,493.1,I,,0
Armenia,51,Wheat temporary crop,4345,1997,31.72727273,I,,0
Armenia,51,Wheat temporary crop,4345,2002,33.54545455,I,,0
Armenia,51,Wheat temporary crop,4345,2007,35,I,,0
Armenia,51,Wheat temporary crop,4345,2012,35,I,,0
Armenia,51,Wheat temporary crop,4345,2017,35,I,,0
Armenia,51,Wheat temporary crop,4345,2018,35,I,,0
Armenia,51,Barley temporary crop,4347,1997,23.98181818,I,,0
Armenia,51,Barley temporary crop,4347,2002,13.93636364,I,,0
Armenia,51,Barley temporary crop,4347,2007,5.9,I,,0
Armenia,51,Barley temporary crop,4347,2012,5.9,I,,0
Armenia,51,Barley temporary crop,4347,2017,5.9,I,,0
Armenia,51,Barley temporary crop,4347,2018,5.9,I,,0
Armenia,51,Maize temporary crop,4348,1997,1.3,I,,0
Armenia,51,Maize temporary crop,4348,2002,2.3,I,,0
Armenia,51,Maize temporary crop,4348,2007,3.1,I,,0
Armenia,51,Maize temporary crop,4348,2012,3.1,I,,0
Armenia,51,Maize temporary crop,4348,2017,3.1,I,,0
Armenia,51,Maize temporary crop,4348,2018,3.1,I,,0
Armenia,51,Other cereals temporary crop,4351,2007,0.3,I,,0
Armenia,51,Other cereals temporary crop,4351,2012,0.3,I,,0
Armenia,51,Other cereals temporary crop,4351,2017,0.3,I,,0
Armenia,51,Other cereals temporary crop,4351,2018,0.3,I,,0
Armenia,51,Vegetables temporary crop,4360,1997,21.4,I,,0
Armenia,51,Vegetables temporary crop,4360,2002,22.4,I,,0
Armenia,51,Vegetables temporary crop,4360,2007,23.2,I,,0
Armenia,51,Vegetables temporary crop,4360,2012,23.2,I,,0
Armenia,51,Vegetables temporary crop,4360,2017,23.2,I,,0
Armenia,51,Vegetables temporary crop,4360,2018,23.2,I,,0
Armenia,51,Sunflower temporary crop,4373,2007,0.2,I,,0
Armenia,51,Sunflower temporary crop,4373,2012,0.2,I,,0
Armenia,51,Sunflower temporary crop,4373,2017,0.2,I,,0
Armenia,51,Sunflower temporary crop,4373,2018,0.2,I,,0
Armenia,51,Potatoes temporary crop,4352,2007,24,I,,0
Armenia,51,Potatoes temporary crop,4352,2012,24,I,,0
Armenia,51,Potatoes temporary crop,4352,2017,24,I,,0
Armenia,51,Potatoes temporary crop,4352,2018,24,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,1997,32.6,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,2002,32.6,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,2007,32.6,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,2012,32.6,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,2017,32.6,I,,0
Armenia,51,Other roots and tubers temporary crop,4355,2018,32.6,I,,0
Armenia,51,Leguminous crops temporary crop,4359,2007,2,I,,0
Armenia,51,Leguminous crops temporary crop,4359,2012,2,I,,0
Armenia,51,Leguminous crops temporary crop,4359,2017,2,I,,0
Armenia,51,Leguminous crops temporary crop,4359,2018,2,I,,0
Armenia,51,Sugar beet temporary crop,4358,2007,0.2,I,,0
Armenia,51,Sugar beet temporary crop,4358,2012,0.2,I,,0
Armenia,51,Sugar beet temporary crop,4358,2017,0.2,I,,0
Armenia,51,Sugar beet temporary crop,4358,2018,0.2,I,,0
Armenia,51,Fodder temporary crop,4369,2007,26,I,,0
Armenia,51,Fodder temporary crop,4369,2012,26,I,,0
Armenia,51,Fodder temporary crop,4369,2017,26,I,,0
Armenia,51,Fodder temporary crop,4369,2018,26,I,,0
Armenia,51,Tobacco temporary crop,4366,2007,0.2,I,,0
Armenia,51,Tobacco temporary crop,4366,2012,0.2,I,,0
Armenia,51,Tobacco temporary crop,4366,2017,0.2,I,,0
Armenia,51,Tobacco temporary crop,4366,2018,0.2,I,,0
Armenia,51,Other temporary crops,4377,1997,4.245636364,I,,0
Armenia,51,Other temporary crops,4377,2002,4.664727273,I,,0
Armenia,51,Other temporary crops,4377,2007,5,I,,0
Armenia,51,Other temporary crops,4377,2012,5,I,,0
Armenia,51,Other temporary crops,4377,2017,5,I,,0
Armenia,51,Other temporary crops,4377,2018,5,I,,0
Armenia,51,Other permanent crops,4378,1997,54.25454545,I,,0
Armenia,51,Other permanent crops,4378,2002,52.39090909,I,,0
Armenia,51,Other permanent crops,4378,2007,50.9,I,,0
Armenia,51,Other permanent crops,4378,2012,50.9,I,,0
Armenia,51,Other permanent crops,4378,2017,50.9,I,,0
Armenia,51,Other permanent crops,4378,2018,50.9,I,,0
Australia,36,Rice temporary crop,4346,2012,82.04333333,I,,0
Australia,36,Rice temporary crop,4346,2017,113.6,I,,0
Australia,36,Rice temporary crop,4346,2018,113.6,I,,0
Australia,36,Other cereals temporary crop,4351,2012,273,I,,0
Australia,36,Other cereals temporary crop,4351,2017,300.7,I,,0
Australia,36,Other cereals temporary crop,4351,2018,300.7,I,,0
Australia,36,Vegetables temporary crop,4360,2012,103.3666667,I,,0
Australia,36,Vegetables temporary crop,4360,2017,102.9,I,,0
Australia,36,Vegetables temporary crop,4360,2018,102.9,I,,0
Australia,36,Soybeans temporary crop,4371,2012,29.05,I,,0
Australia,36,Soybeans temporary crop,4371,2017,29.05,I,,0
Australia,36,Soybeans temporary crop,4371,2018,29.05,I,,0
Australia,36,Sugarcane temporary crop,4357,2012,184.3333333,I,,0
Australia,36,Sugarcane temporary crop,4357,2017,170.2,I,,0
Australia,36,Sugarcane temporary crop,4357,2018,170.2,I,,0
Australia,36,Fodder temporary crop,4369,2012,189.6666667,I,,0
Australia,36,Fodder temporary crop,4369,2017,188.4,I,,0
Australia,36,Fodder temporary crop,4369,2018,188.4,I,,0
Australia,36,Cotton temporary crop,4367,2012,294.6,I,,0
Australia,36,Cotton temporary crop,4367,2017,365.3,I,,0
Australia,36,Cotton temporary crop,4367,2018,365.3,I,,0
Australia,36,Flowers temporary crop,4376,2012,11.69333333,I,,0
Australia,36,Flowers temporary crop,4376,2017,11.04,I,,0
Australia,36,Flowers temporary crop,4376,2018,11.04,I,,0
Australia,36,Other temporary crops,4377,2012,78.82333333,I,,0
Australia,36,Other temporary crops,4377,2017,87.9,I,,0
Australia,36,Other temporary crops,4377,2018,87.9,I,,0
Australia,36,Grapes permanent crop,4523,2012,145.8666667,I,,0
Australia,36,Grapes permanent crop,4523,2017,137.5,I,,0
Australia,36,Grapes permanent crop,4523,2018,137.5,I,,0
Australia,36,Other fruits permanent crop,4524,2012,134.9333333,I,,0
Australia,36,Other fruits permanent crop,4524,2017,135.3,I,,0
